Title,Location,Time of work,Type of agreement,Salary,Article url
McDonald's Czarodzieja zatrudnii osoby niepełnosprawne. Dołącz do nas!,Warszawa", Białołęka,Pełny etat,Umowa o pracę,od 19 zł do 22 zł /godz. brutto,https://www.olx.pl/oferta/mcdonalds-czarodzieja-zatrudnii-osoby-niepelnosprawne-dolacz-do-nas-CID4-IDykNuj.html#fcb6b88aff
Nowe stanowisko czeka", bądź LIDEREM GOŚCINNOŚCI w McDonald's Klasyków!,Warszawa", Białołęka,Niepełny etat,Umowa o pracę,od 3 640 zł do 3 900 zł /mies. brutto,https://www.olx.pl/oferta/nowe-stanowisko-czeka-badz-liderem-goscinnosci-w-mcdonalds-klasykow-CID4-IDyJ9Um.html#fcb6b88aff
Pracownik restauracji McDonald's MARKI - ul. Toruńska. Dołącz i ty!,Warszawa", Białołęka,Pełny etat,Umowa o pracę,od 3 270 zł do 3 500 zł /mies. brutto,https://www.olx.pl/oferta/pracownik-restauracji-mcdonalds-marki-ul-torunska-dolacz-i-ty-CID4-IDrBgzw.html#fcb6b88aff
Nowe STAWKI! Praca w WEEKENDY w restauracji McDonald's Toruńska -MARKI,Warszawa", Białołęka,Niepełny etat,Umowa o pracę,od 19 zł do 22 zł /godz. brutto,https://www.olx.pl/oferta/nowe-stawki-praca-w-weekendy-w-restauracji-mcdonalds-torunska-marki-CID4-IDsXOiW.html#fcb6b88aff
MŁODSZY KUCHARZ - Bistro Włoskie MOKOTÓW Warszawa,Warszawa", Mokotów,Pełny etat,Umowa o pracę,od 17 zł do 19 zł /godz. brutto,https://www.olx.pl/oferta/mlodszy-kucharz-bistro-wloskie-mokotow-warszawa-CID4-IDCZpPl.html#f3271036db;promoted
,Warszawa", Śródmieście,Pełny etat,Umowa o pracę,,
Pracownika McDonald 's Sadyba- NOWE STAWKI,Warszawa", Mokotów,Niepełny etat,Umowa o pracę,od 2 900 zł do 3 300 zł /mies. brutto,https://www.olx.pl/oferta/pracownika-mcdonald-s-sadyba-nowe-stawki-CID4-IDw7Nit.html#f3271036db;promoted
,Warszawa", Białołęka,Pełny etat,Umowa o pracę,,
Kucharz Kuchnia Zimna,Warszawa", Praga-Południe,Pełny etat,Umowa o pracę,od 28 zł do 35 zł /godz. brutto,https://www.olx.pl/oferta/kucharz-kuchnia-zimna-CID4-IDzBRDj.html#f3271036db;promoted
Zatrudnimy Pizzera! Ursynów,Warszawa", Ursynów,Pełny etat,Umowa o pracę,4 000 zł /mies. brutto,https://www.olx.pl/oferta/zatrudnimy-pizzera-ursynow-CID4-IDrlf7j.html#f3271036db
Pomoc kuchenna Lepienie pierogów,Warszawa", Śródmieście,Pełny etat,Umowa o pracę,od 3 200 zł do 3 800 zł /mies. brutto,https://www.olx.pl/oferta/pomoc-kuchenna-lepienie-pierogow-CID4-IDvmNEm.html#f3271036db
Poszukiwana POMOC KUCHENNA 18zł/h!!!,Warszawa", Ursynów,Pełny etat,Umowa o pracę,od 3 000 zł do 4 500 zł /mies. brutto,https://www.olx.pl/oferta/poszukiwana-pomoc-kuchenna-18zl-h-CID4-IDvrTgf.html#f3271036db
Restauracja Concept 13 zatrudni recepcjonistkę,Warszawa", Śródmieście,Pełny etat,Umowa o pracę,3 000 zł /mies. brutto,https://www.olx.pl/oferta/restauracja-concept-13-zatrudni-recepcjonistke-CID4-IDAmzn2.html#f3271036db
Zatrudnię cukiernika oraz osoby do działu cukierniczego,Warszawa", Wawer,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/zatrudnie-cukiernika-oraz-osoby-do-dzialu-cukierniczego-CID4-IDCRce7.html#f3271036db
POMOC KUCHENNA/MŁ. KUCHARZ – Tarchomin", Warszawa", system zmianowy,Warszawa", Białołęka,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/pomoc-kuchenna-ml-kucharz-tarchomin-warszawa-system-zmianowy-CID4-IDB74yW.html#f3271036db
Praca w weekendy McDonald's Pelikanów - 18",50 zł/h + 5zł/h w niedzielę,Warszawa", Ursynów,Pełny etat,Umowa o pracę,od 1 550 zł do 1 600 zł /mies. brutto,https://www.olx.pl/oferta/praca-w-weekendy-mcdonalds-pelikanow-18-50-zl-h-5zl-h-w-niedziele-CID4-IDArRVy.html#f3271036db
Pomocnik kucharza na zimną kuchnię,Warszawa", Ursynów,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/pomocnik-kucharza-na-zimna-kuchnie-CID4-IDCPgfD.html#f3271036db
kucharz,Warszawa", Bemowo,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/kucharz-CID4-IDCRb8U.html#f3271036db
Pracownik restauracji - Galeria Mokotów,Warszawa", Mokotów,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/pracownik-restauracji-galeria-mokotow-CID4-IDCR8YK.html#f3271036db
Kelner/Kelnerka Indyjska Restauracja,Warszawa", Mokotów,Pełny etat,Umowa o pracę,od 12 zł do 15 zł /godz. brutto,https://www.olx.pl/oferta/kelner-kelnerka-indyjska-restauracja-CID4-IDCQZGu.html#f3271036db
Osoba na zmywak,Warszawa", Mokotów,Pełny etat,Umowa o pracę,od 11 zł do 14 zł /godz. brutto,https://www.olx.pl/oferta/osoba-na-zmywak-CID4-IDCM4La.html#f3271036db
Zatrudnię Szefa Kuchni,Warszawa", Bemowo,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/zatrudnie-szefa-kuchni-CID4-IDCM3sn.html#f3271036db
Kucharz poszukiwany !OCHOTA,Warszawa", Ochota,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/kucharz-poszukiwany-ochota-CID4-IDBbNyP.html#f3271036db
Praca BIUROWA Warszawa Białołęka,Warszawa", Praga-Południe,Pełny etat,Umowa o pracę,od 2 200 zł do 3 200 zł /mies. brutto,https://www.olx.pl/oferta/praca-biurowa-warszawa-bialoleka-CID4-IDBut2F.html#f3271036db
Osoba na ZMYWAK,Warszawa", Mokotów,Pełny etat,Umowa o pracę,od 10 zł do 14 zł /godz. brutto,https://www.olx.pl/oferta/osoba-na-zmywak-CID4-IDChXsX.html#f3271036db
Pomoc kuchenna do niepublicznego przedszkola na Bielanach,Warszawa", Bielany,Niepełny etat,Umowa o pracę,,https://www.olx.pl/oferta/pomoc-kuchenna-do-niepublicznego-przedszkola-na-bielanach-CID4-IDzvCA2.html#f3271036db
Zatrudnię szefa kuchni kuchni Polskiej,Warszawa", Włochy,Pełny etat,Umowa o pracę,22 zł /mies. brutto,https://www.olx.pl/oferta/zatrudnie-szefa-kuchni-kuchni-polskiej-CID4-IDCQFMg.html#f3271036db
Sprzedawca ! Sushibar handroll,Warszawa", Śródmieście,Pełny etat,Umowa o pracę,od 14 zł do 15 zł /godz. brutto,https://www.olx.pl/oferta/sprzedawca-sushibar-handroll-CID4-IDyqvpL.html#f3271036db
Zatrudnimt Kelnera,Warszawa", Żoliborz,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/zatrudnimt-kelnera-CID4-IDCQzvI.html#f3271036db
Pizzera,Warszawa", Rembertów,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/pizzera-CID4-IDAkIue.html#f3271036db
Magazynier,Warszawa", Ochota,Pełny etat,Umowa o pracę,od 18 zł do 23 zł /godz. brutto,https://www.olx.pl/oferta/magazynier-CID4-IDCqpNJ.html#f3271036db
Elektryk,Warszawa", Ochota,Pełny etat,Umowa o pracę,od 28 zł do 32 zł /godz. brutto,https://www.olx.pl/oferta/elektryk-CID4-IDC7yzt.html#f3271036db
Praca w pierogarni,Warszawa", Targówek,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/praca-w-pierogarni-CID4-IDCQieX.html#f3271036db
Zatrudnię barmanów,Warszawa", Śródmieście,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/zatrudnie-barmanow-CID4-IDBRiqD.html#f3271036db
Kucharza oraz pomocnika kucharza,Warszawa", Wola,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/kucharza-oraz-pomocnika-kucharza-CID4-IDBDfHN.html#f3271036db
Barman w 5* hotelu,Warszawa", Śródmieście,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/barman-w-5-hotelu-CID4-IDCQ1WY.html#f3271036db
Pracownik McDonald's CH.Promnada -zmiana nocna lub weekedny,Warszawa", Praga-Południe,Pełny etat,Umowa o pracę,3 200 zł /mies. brutto,https://www.olx.pl/oferta/pracownik-mcdonalds-ch-promnada-zmiana-nocna-lub-weekedny-CID4-IDCQ17i.html#f3271036db
zatrudnimy pania zmywajaca,Warszawa", Ochota,Pełny etat,Umowa o pracę,od 3 300 zł do 3 500 zł /mies. brutto,https://www.olx.pl/oferta/zatrudnimy-pania-zmywajaca-CID4-IDCjR3b.html#f3271036db
Kucharz,Warszawa", Ochota,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/kucharz-CID4-IDCPPKt.html#f3271036db
Kucharz produkcyjny/wydawkowy,Warszawa", Śródmieście,Pełny etat,Umowa o pracę,od 17 zł do 18 zł /godz. brutto,https://www.olx.pl/oferta/kucharz-produkcyjny-wydawkowy-CID4-IDBiwwS.html#f3271036db
Kameralne przedszkole w Wilanowie zatrudni osobę do pracy w kuchni,Warszawa", Wilanów,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/kameralne-przedszkole-w-wilanowie-zatrudni-osobe-do-pracy-w-kuchni-CID4-IDysX2m.html#f3271036db
Kontroler jakości finalnego produktu - catering,Warszawa", Włochy,Pełny etat,Umowa o pracę,od 4 000 zł do 5 000 zł /mies. brutto,https://www.olx.pl/oferta/kontroler-jakosci-finalnego-produktu-catering-CID4-IDCKS0b.html#f3271036db
Manager lokalu gastronomicznego,Warszawa", Praga-Południe,Pełny etat,Umowa o pracę,6 000 zł /mies. brutto,https://www.olx.pl/oferta/manager-lokalu-gastronomicznego-CID4-IDCPzB9.html#f3271036db
Kucharz Zmianowy,Warszawa", Mokotów,Pełny etat,Umowa o pracę,3 000 zł /mies. brutto,https://www.olx.pl/oferta/kucharz-zmianowy-CID4-IDCPovl.html#f3271036db
Restauracja w Śródmieściu zatrudni Panią do zmywania,Warszawa", Śródmieście,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/restauracja-w-srodmiesciu-zatrudni-pania-do-zmywania-CID4-IDCPkWU.html#f3271036db
Zatrudnię Kelnerkę/Kelnera do Restauracji Sushi na Bielanach,Warszawa", Białołęka,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/zatrudnie-kelnerke-kelnera-do-restauracji-sushi-na-bielanach-CID4-IDBOhxP.html#f3271036db
Pomoc kuchenna", zmywak", sprzątanie Warszawa,Warszawa", Praga-Północ,Pełny etat,Umowa o pracę,od 13 zł do 15 zł /godz. brutto,https://www.olx.pl/oferta/pomoc-kuchenna-zmywak-sprzatanie-warszawa-CID4-IDCP9DH.html#f3271036db
Pomoc kuchenna/zmywak Białołęka / Tarchomin / Wawer Radość,Warszawa", Białołęka,Pełny etat,Umowa o pracę,od 14 zł do 16 zł /godz. brutto,https://www.olx.pl/oferta/pomoc-kuchenna-zmywak-bialoleka-tarchomin-wawer-radosc-CID4-IDC1L9v.html#f3271036db
,Warszawa", Bemowo,Pełny etat,Umowa o pracę,3 050 zł /mies. brutto,
,Warszawa", Wola,Pełny etat,Umowa o pracę,,
,Warszawa", Śródmieście,Niepełny etat,Umowa o pracę,,
Pracownik restauracji Mcdonald's ul. Radzymińska 94a - 3000 BRUTTO!,Warszawa", Targówek,Pełny etat,Umowa o pracę,od 2 900 zł do 3 000 zł /mies. brutto,https://www.olx.pl/oferta/pracownik-restauracji-mcdonalds-ul-radzyminska-94a-3000-brutto-CID4-IDCRHod.html#47c989f65b;promoted
POMOC KUCHENNA - Włoskie Bistro Mokotów 14-16 PLN,Warszawa", Mokotów,Pełny etat,Umowa o pracę,od 14 zł do 16 zł /godz. brutto,https://www.olx.pl/oferta/pomoc-kuchenna-wloskie-bistro-mokotow-14-16-pln-CID4-IDCKZU8.html#47c989f65b;promoted
Kucharz | Restauracja Warszawa Bielany,Warszawa", Bielany,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/kucharz-restauracja-warszawa-bielany-CID4-IDC3W6E.html#47c989f65b
Pomoc kuchenna - praca od zaraz,Warszawa", Mokotów,Pełny etat,Umowa o pracę,15 zł /godz. brutto,https://www.olx.pl/oferta/pomoc-kuchenna-praca-od-zaraz-CID4-IDCOYfh.html#47c989f65b
Pracownik Kebab Amal,Warszawa", Bemowo,Pełny etat,Umowa o pracę,od 3 000 zł do 5 000 zł /mies. brutto,https://www.olx.pl/oferta/pracownik-kebab-amal-CID4-IDpMjqt.html#47c989f65b
Sprzedawca sklepu spożywczego,Warszawa", Mokotów,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/sprzedawca-sklepu-spozywczego-CID4-IDyE0Lw.html#47c989f65b
Kucharka/kucharz - catering dietetyczny wegetariański,Warszawa", Ursus,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/kucharka-kucharz-catering-dietetyczny-wegetarianski-CID4-IDA53XW.html#47c989f65b
Zatrudnimy Początkującego kucharza sushi,Warszawa", Mokotów,Pełny etat,Umowa o pracę,od 3 300 zł do 4 100 zł /mies. brutto,https://www.olx.pl/oferta/zatrudnimy-poczatkujacego-kucharza-sushi-CID4-IDCOEX6.html#47c989f65b
Ciastkarz - ciasto francuskie,Warszawa", Praga-Północ,Pełny etat,Umowa o pracę,3 500 zł /mies. brutto,https://www.olx.pl/oferta/ciastkarz-ciasto-francuskie-CID4-IDBPRWJ.html#47c989f65b
poszukujemy kierowcy - dostawcy,Warszawa", Ochota,Niepełny etat,Umowa o pracę,od 2 800 zł do 3 200 zł /mies. brutto,https://www.olx.pl/oferta/poszukujemy-kierowcy-dostawcy-CID4-IDCOzNz.html#47c989f65b
Asystenta menadżera a także pomoc kucharza w małym bistro,Warszawa", Targówek,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/asystenta-menadzera-a-takze-pomoc-kucharza-w-malym-bistro-CID4-IDCLp8V.html#47c989f65b
Kelner cateringowy", praca na stałe!,Warszawa", Śródmieście,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/kelner-cateringowy-praca-na-stale-CID4-IDB75qy.html#47c989f65b
Kucharz,Warszawa", Praga-Południe,Pełny etat,Umowa o pracę,od 3 000 zł do 3 500 zł /mies. brutto,https://www.olx.pl/oferta/kucharz-CID4-IDCOlUG.html#47c989f65b
Kasjerkę/ kasjera szuka restauracja w Centrum Warszawy,Warszawa", Śródmieście,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/kasjerke-kasjera-szuka-restauracja-w-centrum-warszawy-CID4-IDCOkKF.html#47c989f65b
Restauracja zatrudni kucharza zmianowego,Warszawa", Śródmieście,Pełny etat,Umowa o pracę,od 4 000 zł do 5 500 zł /mies. brutto,https://www.olx.pl/oferta/restauracja-zatrudni-kucharza-zmianowego-CID4-IDCkEMC.html#47c989f65b
Kreatywny Kucharz! Kantyna! Warszawa! Umowa o pracę.,Warszawa", Praga-Północ,Pełny etat,Umowa o pracę,od 21 zł do 25 zł /godz. brutto,https://www.olx.pl/oferta/kreatywny-kucharz-kantyna-warszawa-umowa-o-prace-CID4-IDCOisZ.html#47c989f65b
,Warszawa", Ochota,Pełny etat,Umowa o pracę,26 zł /godz. brutto,
Pomoc kuchenna do Cateringu od zaraz,Warszawa", Włochy,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/pomoc-kuchenna-do-cateringu-od-zaraz-CID4-IDCOgMJ.html#47c989f65b
Sam Powiśle szuka osób na stanowisko zmywające.,Warszawa", Śródmieście,Pełny etat,Umowa o pracę,od 3 300 zł do 3 600 zł /mies. brutto,https://www.olx.pl/oferta/sam-powisle-szuka-osob-na-stanowisko-zmywajace-CID4-IDAEIYG.html#47c989f65b
Sprzedawca/Ekspedientka do punktu gastronomicznego,Warszawa", Wawer,Pełny etat,Umowa o pracę,od 13 zł do 17 zł /mies. brutto,https://www.olx.pl/oferta/sprzedawca-ekspedientka-do-punktu-gastronomicznego-CID4-IDCOftY.html#47c989f65b
Kucharz do włoskiej restauracji,Warszawa", Mokotów,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/kucharz-do-wloskiej-restauracji-CID4-IDCOeyv.html#47c989f65b
zatrudnię kelnerke,Warszawa", Targówek,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/zatrudnie-kelnerke-CID4-IDCO5qO.html#47c989f65b
Kucharka od stycznia,Warszawa", Wola,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/kucharka-od-stycznia-CID4-IDCNN9Y.html#47c989f65b
Kelner/Kelnerka,Warszawa", Śródmieście,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/kelner-kelnerka-CID4-IDtITnr.html#47c989f65b
McDonald's Pelikanów - stawka 18",50zł/h + 5 zł/h w niedzielę i święta,Warszawa", Ursynów,Pełny etat,Umowa o pracę,od 3 200 zł do 3 250 zł /mies. brutto,https://www.olx.pl/oferta/mcdonalds-pelikanow-stawka-18-50zl-h-5-zl-h-w-niedziele-i-swieta-CID4-IDArTkW.html#47c989f65b
NOWE WYŻSZE STAWKI 18",5 zł/h Godzinach popołudniowe- McDonald's,Warszawa", Ursynów,Niepełny etat,Umowa o pracę,od 3 200 zł do 3 250 zł /mies. brutto,https://www.olx.pl/oferta/nowe-wyzsze-stawki-18-5-zl-h-godzinach-popoludniowe-mcdonalds-CID4-IDBDaHR.html#47c989f65b
NOWE WYŻSZE STAWKI !!! Menager Restauracji McDonald's ul. Pelikanów 24,Warszawa", Ursynów,Pełny etat,Umowa o pracę,od 4 100 zł do 4 120 zł /mies. brutto,https://www.olx.pl/oferta/nowe-wyzsze-stawki-menager-restauracji-mcdonalds-ul-pelikanow-24-CID4-IDBFsLV.html#47c989f65b
Manager Generalny / Restauracja Ursynów,Warszawa", Ursynów,Pełny etat,Umowa o pracę,od 7 000 zł do 15 000 zł /mies. brutto,https://www.olx.pl/oferta/manager-generalny-restauracja-ursynow-CID4-IDCIq8A.html#47c989f65b
produkcja kanapek&sałatek - nocna zmiana (21:00 - 05:00),Warszawa", Bielany,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/produkcja-kanapek-salatek-nocna-zmiana-2100-0500-CID4-IDB10yo.html#47c989f65b
Obsługa klienta w Centrum Warszawy 14 zł/h netto,Warszawa", Śródmieście,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/obsluga-klienta-w-centrum-warszawy-14-zl-h-netto-CID4-IDCI9YD.html#47c989f65b
Sprzedawca gastronomia,Warszawa", Żoliborz,Pełny etat,Umowa o pracę,od 14 zł do 15 zł /godz. brutto,https://www.olx.pl/oferta/sprzedawca-gastronomia-CID4-IDCMUmv.html#47c989f65b
Pracownik do gastronomii,Warszawa", Ursynów,Pełny etat,Umowa o pracę,od 14 zł do 15 zł /godz. brutto,https://www.olx.pl/oferta/pracownik-do-gastronomii-CID4-IDCMMze.html#47c989f65b
Kucharz kuchni ciepłej do restauracji SUSHI w Śródmieściu,Warszawa", Śródmieście,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/kucharz-kuchni-cieplej-do-restauracji-sushi-w-srodmiesciu-CID4-IDCMGiW.html#47c989f65b
Kierownik Restauracji", Pizza Dominium Warszawa,Warszawa", Śródmieście,Pełny etat,Umowa o pracę,od 4 500 zł do 6 000 zł /mies. brutto,https://www.olx.pl/oferta/kierownik-restauracji-pizza-dominium-warszawa-CID4-IDBJ6Z7.html#47c989f65b
Kierownik Zmiany - Pizza Dominium Ursynów/Mokotów/Ochota,Warszawa", Mokotów,Pełny etat,Umowa o pracę,od 4 000 zł do 5 500 zł /mies. brutto,https://www.olx.pl/oferta/kierownik-zmiany-pizza-dominium-ursynow-mokotow-ochota-CID4-IDCLAQt.html#47c989f65b
Zatrudnię pizzera.,Warszawa", Wesoła,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/zatrudnie-pizzera-CID4-IDCHnCy.html#47c989f65b
Praca w restauracji Sushi,Warszawa", Wola,Pełny etat,Umowa o pracę,od 14 zł do 20 zł /godz. brutto,https://www.olx.pl/oferta/praca-w-restauracji-sushi-CID4-IDxP5MK.html#47c989f65b
Barman / Barbeck - wydawka w Restauracji,Warszawa", Śródmieście,Pełny etat,Umowa o pracę,od 4 000 zł do 6 000 zł /mies. brutto,https://www.olx.pl/oferta/barman-barbeck-wydawka-w-restauracji-CID4-IDAPs5q.html#47c989f65b
Kucharz Sushi w Niemczech,Warszawa", Bemowo,Pełny etat,Umowa o pracę,od 7 000 zł do 10 000 zł /mies. brutto,https://www.olx.pl/oferta/kucharz-sushi-w-niemczech-CID4-IDBrulK.html#47c989f65b
Pomoc kucharza - produkcja pierogów,Warszawa", Praga-Północ,Pełny etat,Umowa o pracę,15 zł /godz. brutto,https://www.olx.pl/oferta/pomoc-kucharza-produkcja-pierogow-CID4-IDCMcId.html#47c989f65b
Pracownik obsługi gości ( bary sałatkowe),Warszawa", Śródmieście,Pełny etat,Umowa o pracę,od 2 600 zł do 2 900 zł /mies. brutto,https://www.olx.pl/oferta/pracownik-obslugi-gosci-bary-salatkowe-CID4-IDCMbhb.html#47c989f65b
,Warszawa", Śródmieście,Pełny etat,Umowa o pracę,od 15 zł do 25 zł /godz. brutto,
,Warszawa", Targówek,Pełny etat,Umowa o pracę,3 120 zł /mies. brutto,
,Warszawa", Śródmieście,Pełny etat,Umowa o pracę,od 3 000 zł do 5 000 zł /mies. brutto,
,Warszawa", Śródmieście,Pełny etat,Umowa o pracę,od 18 zł do 20 zł /godz. brutto,
,Warszawa", Śródmieście,Pełny etat,Umowa o pracę,,
kelner/kelnerka,Warszawa", Śródmieście,Pełny etat,Umowa o pracę,15 zł /godz. brutto,https://www.olx.pl/oferta/kelner-kelnerka-CID4-IDCMa3N.html#0a7d12c6bb
Catering Pure&Fresh zatrudni Pomoc Kuchenną /Zmywak,Warszawa", Praga-Południe,Pełny etat,Umowa o pracę,od 2 600 zł do 3 200 zł /mies. brutto,https://www.olx.pl/oferta/catering-pure-fresh-zatrudni-pomoc-kuchenna-zmywak-CID4-IDzWifg.html#0a7d12c6bb
Kierownik Cukiernia Sowa,Warszawa", Śródmieście,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/kierownik-cukiernia-sowa-CID4-IDCM1rY.html#0a7d12c6bb
Manager Zmianowy,Warszawa", Wola,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/manager-zmianowy-CID4-IDCFWQK.html#0a7d12c6bb
Pracownik do małego lokalu z burgerami Ursus Skorosze,Warszawa", Ursus,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/pracownik-do-malego-lokalu-z-burgerami-ursus-skorosze-CID4-IDCLZ2q.html#0a7d12c6bb
Zatrudnię pół etatu na garmażerk,Warszawa", Śródmieście,Niepełny etat,Umowa o pracę,od 16 zł /mies. brutto Do negocjacji,https://www.olx.pl/oferta/zatrudnie-pol-etatu-na-garmazerk-CID4-IDCLUPw.html#0a7d12c6bb
Praca na zmywaku - Ursynów,Warszawa", Ursynów,Dodatkowa / sezonowa,Umowa o pracę,od 13 zł do 14 zł /mies. brutto,https://www.olx.pl/oferta/praca-na-zmywaku-ursynow-CID4-IDCLpdi.html#0a7d12c6bb
Hydraulik / Niemcy / 10 € Netto ! / Umowa o pracę / PRACA OD ZARAZ !,Warszawa", Śródmieście,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/hydraulik-niemcy-10-netto-umowa-o-prace-praca-od-zaraz-CID4-IDCLf6V.html#0a7d12c6bb
Pomoc kuchenna w szkole,Warszawa", Ochota,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/pomoc-kuchenna-w-szkole-CID4-IDCLdWG.html#0a7d12c6bb
Zmywak/Obierak,Warszawa", Mokotów,Pełny etat,Umowa o pracę,od 3 200 zł do 3 700 zł /mies. brutto,https://www.olx.pl/oferta/zmywak-obierak-CID4-IDCgdNK.html#0a7d12c6bb
Koordynator dostaw kateringu lotniczego,Warszawa", Ochota,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/koordynator-dostaw-kateringu-lotniczego-CID4-IDyXBmS.html#0a7d12c6bb
Pracownik Koreańska restauracja,Warszawa", Wola,Pełny etat,Umowa o pracę,od 2 600 zł do 3 000 zł /mies. brutto,https://www.olx.pl/oferta/pracownik-koreanska-restauracja-CID4-IDCKdPC.html#0a7d12c6bb
Gastronomia,Warszawa", Śródmieście,Pełny etat,Umowa o pracę,od 3 500 zł do 4 000 zł /mies. brutto,https://www.olx.pl/oferta/gastronomia-CID4-IDCKcir.html#0a7d12c6bb
Otwarta i pozytywna osoba poszukiwana !,Warszawa", Mokotów,Pełny etat,Umowa o pracę,od 16 zł do 18 zł /godz. brutto,https://www.olx.pl/oferta/otwarta-i-pozytywna-osoba-poszukiwana-CID4-IDCImIH.html#0a7d12c6bb
Kucharz sushi,Warszawa", Ursynów,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/kucharz-sushi-CID4-IDzZnjJ.html#0a7d12c6bb
Piekarz / Czeladnik - Piekarnia Aromat,Warszawa", Śródmieście,Pełny etat,Umowa o pracę,od 4 000 zł do 5 500 zł /mies. brutto,https://www.olx.pl/oferta/piekarz-czeladnik-piekarnia-aromat-CID4-IDCm6GI.html#0a7d12c6bb
kucharz w 5* hotelu u szefa Darka Barańskiego,Warszawa", Śródmieście,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/kucharz-w-5-hotelu-u-szefa-darka-baranskiego-CID4-IDCJJzX.html#0a7d12c6bb
Zatrudnimy Kierownika Zmianowego do włoskiej restauracji w Śródmieściu,Warszawa", Śródmieście,Pełny etat,Umowa o pracę,od 7 000 zł do 8 000 zł /mies. brutto,https://www.olx.pl/oferta/zatrudnimy-kierownika-zmianowego-do-wloskiej-restauracji-w-srodmiesciu-CID4-IDCJEZ7.html#0a7d12c6bb
Kierownik Zmiany - cukiernia A.Blikle - KEN,Warszawa", Ursynów,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/kierownik-zmiany-cukiernia-a-blikle-ken-CID4-IDCJDs0.html#0a7d12c6bb
15-18 zł netto", Pizzer na pełen etat", Warszawa Centrum i okolice,Warszawa", Śródmieście,Pełny etat,Umowa o pracę,od 18 zł do 24 zł /godz. brutto,https://www.olx.pl/oferta/15-18-zl-netto-pizzer-na-pelen-etat-warszawa-centrum-i-okolice-CID4-IDz0aCQ.html#0a7d12c6bb
Kucharz - pizzer,Warszawa", Praga-Południe,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/kucharz-pizzer-CID4-IDCJcad.html#0a7d12c6bb
Osoba do sprzedaży frytek i kurczaków,Warszawa", Praga-Południe,Pełny etat,Umowa o pracę,2 900 zł /mies. brutto,https://www.olx.pl/oferta/osoba-do-sprzedazy-frytek-i-kurczakow-CID4-IDx0Yvx.html#0a7d12c6bb
Książeczka sanepid badania 3 lata,Warszawa", Śródmieście,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/ksiazeczka-sanepid-badania-3-lata-CID4-IDCIKwh.html#0a7d12c6bb
Manager zmianowy w restauracji SAM /Centrum,Warszawa", Żoliborz,Pełny etat,Umowa o pracę,od 4 500 zł do 5 500 zł /mies. brutto,https://www.olx.pl/oferta/manager-zmianowy-w-restauracji-sam-centrum-CID4-IDCIJwz.html#0a7d12c6bb
Pomoc kuchenna - Restauracja OLIMP - Kantyna/biurowiec - Mokotów,Warszawa", Mokotów,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/pomoc-kuchenna-restauracja-olimp-kantyna-biurowiec-mokotow-CID4-IDBBNlI.html#0a7d12c6bb
