Title,Location,Time of work,Type of agreement,Salary,Article url
,Zielona Góra,Pełny etat,Umowa o pracę,,
.Kucharz Kebab 16 zł netto/h,Warszawa", Bielany,Pełny etat,Umowa o pracę,od 3 000 zł do 4 000 zł /mies. brutto,https://www.olx.pl/oferta/kucharz-kebab-16-zl-netto-h-CID4-IDCAT3S.html#eaba6090d7
,Łowicz,Pełny etat,Inny,,
,Warszawa", Ochota,Pełny etat,Umowa o pracę,,
,Warszawa", Śródmieście,Pełny etat,Umowa o pracę,od 4 000 zł do 5 000 zł /mies. brutto,
Restauracja McD Galeria Północna zatrudni pracownika dostaw.,Warszawa", Białołęka,Niepełny etat,Umowa o pracę,,https://www.olx.pl/oferta/restauracja-mcd-galeria-polnocna-zatrudni-pracownika-dostaw-CID4-IDC1AS2.html#fdf91ad939;promoted
,Warszawa", Włochy,Pełny etat,Umowa o pracę,,
do pracy w ""Burger Point"",Warszawa", Wawer,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/do-pracy-w-burger-point-CID4-IDsCXvT.html#fdf91ad939;promoted
,Warszawa", Śródmieście,Pełny etat,Umowa o pracę,,
Praca dla otwartej i komunikatywnej osoby (centrum Warszawy),Warszawa", Śródmieście,Pełny etat,Umowa o pracę,od 3 300 zł do 3 700 zł /mies. brutto,https://www.olx.pl/oferta/praca-dla-otwartej-i-komunikatywnej-osoby-centrum-warszawy-CID4-IDCVZCa.html#fdf91ad939;promoted
Zatrudnimy Kucharzy do Restauracji Kotłownia i Via Suzina,Warszawa", Żoliborz,Pełny etat,Umowa o pracę,od 3 000 zł do 4 000 zł /mies. brutto,https://www.olx.pl/oferta/zatrudnimy-kucharzy-do-restauracji-kotlownia-i-via-suzina-CID4-IDCZUao.html#fdf91ad939
,Warszawa", Wola,Pełny etat,Umowa o pracę,,
,Warszawa", Wola,Pełny etat,Umowa o pracę,,
,Warszawa", Bielany,Pełny etat,Umowa o pracę,od 3 300 zł do 6 000 zł /mies. brutto,
,Warszawa", Wesoła,Pełny etat,Umowa o pracę,,
.Kierownik zmiany Restauracja Galeria Młociny,Warszawa", Bielany,Pełny etat,Umowa o pracę,od 4 000 zł do 5 000 zł /mies. brutto,https://www.olx.pl/oferta/kierownik-zmiany-restauracja-galeria-mlociny-CID4-IDBnCKJ.html#fdf91ad939
.Obsługa klienta przy kasie Express Oriental Galeria Młociny,Warszawa", Bielany,Pełny etat,Umowa o pracę,od 3 000 zł do 4 000 zł /mies. brutto,https://www.olx.pl/oferta/obsluga-klienta-przy-kasie-express-oriental-galeria-mlociny-CID4-IDBIVr8.html#fdf91ad939
Restauracja McDonal's GaleriaPółnocna zatruni osoby niepełnosprawne.,Warszawa", Białołęka,Pełny etat,Umowa o pracę,od 3 130 zł do 3 210 zł /mies. brutto,https://www.olx.pl/oferta/restauracja-mcdonals-galeriapolnocna-zatruni-osoby-niepelnosprawne-CID4-IDA1il7.html#fdf91ad939;promoted
,Warszawa", Praga-Północ,Pełny etat,Umowa o pracę,16 zł /godz. brutto,
